arquivo,categorias,largura,altura
img_0471.png,"person, remote, person, person, person",512,512
img_0488.png,"cat, book, book, chair, book",512,512
img_0489.png,"refrigerator, person, cup, knife, knife, bottle, knife, bottle, bottle, bottle, bottle",512,512
img_0490.png,"cup, teddy bear, teddy bear, donut, donut, teddy bear, cup, donut, dining table",512,512
img_0494.png,"dog, potted plant, person, bench, handbag, handbag, potted plant, potted plant",512,512
img_0506.png,"car, car, person, car",512,512
img_0514.png,"dog, chair",512,512
img_0525.png,"sandwich, cup, spoon, dining table",512,512
img_0535.png,"person, person, person, fork, cake, fork, cake",512,512
img_0537.png,"tie, bottle, person, bottle",512,512
img_0540.png,"bowl, orange, orange, dining table, orange",512,512
img_0548.png,"cat, laptop",512,512
img_0554.png,"umbrella, person, person",512,512
img_0556.png,"person, person, tennis racket",512,512
img_0558.png,"clock, person",512,512
img_0567.png,"knife, knife, dining table, cup, cup, cake, cake, cake",512,512
img_0570.png,"dining table, cup",512,512
img_0578.png,"cat, bowl",512,512
img_0587.png,"cat, couch, remote",512,512
img_0591.png,"cat, bowl, bowl, bowl, bowl, bowl",512,512
img_0607.png,"cup, cup, cup, hot dog, dining table, person",512,512
img_0608.png,"potted plant, potted plant, potted plant, dining table, knife, knife, bowl, chair, wine glass, cup, chair, potted plant",512,512
img_0609.png,"cat, bench",512,512
img_0611.png,"dining table, vase, vase, cup, person, person, cup, vase, person, spoon",512,512
img_0616.png,"cat, sink",512,512
img_0631.png,"car, fire hydrant, car, boat",512,512
img_0632.png,"tv, cat, dining table",512,512
img_0634.png,"cat, sports ball, backpack, suitcase",512,512
img_0636.png,"cat, mouse, keyboard",512,512
img_0643.png,"chair, chair, dining table, cup, cup, fork, knife, knife, spoon, spoon, bowl, pizza, fork",512,512
img_0648.png,"horse, person, person, person, tie, potted plant, person, person",512,512
img_0653.png,"person, person, handbag, dog",512,512
img_0657.png,"cell phone, cup, spoon, donut, dining table, person",512,512
img_0661.png,"bowl, bowl, bowl, cake, cake, cake, bowl, dining table",512,512
img_0662.png,dog,512,512
img_0667.png,"tie, chair, person, cup, laptop",512,512
img_0670.png,"dog, bottle, cell phone",512,512
img_0672.png,"car, person, frisbee, truck, truck",512,512
img_0676.png,"dining table, cup, spoon, spoon, pizza, fork, cake",512,512
img_0682.png,"cat, suitcase",512,512
img_0684.png,"sports ball, person, baseball glove",512,512
img_0689.png,"cat, tv, laptop",512,512
img_0691.png,"chair, person, person, bowl, chair, chair, spoon, cake",512,512
img_0694.png,"tie, person, person, chair",512,512
img_0699.png,dog,512,512
img_0701.png,"dog, frisbee, frisbee",512,512
img_0702.png,"cell phone, chair, chair, person, cup, dining table, dining table, book, backpack, dining table, chair, chair, chair, dining table",512,512
img_0710.png,"spoon, bowl, banana, dining table",512,512
img_0716.png,"sports ball, person, tennis racket",512,512
img_0717.png,"cat, chair, chair, chair, dining table, vase",512,512
img_0720.png,"cup, cup, knife, bowl, bowl, knife, dining table, person, cake",512,512
img_0730.png,"person, tennis racket",512,512
img_0731.png,"person, person, tennis racket, person, person, person",512,512
img_0732.png,"umbrella, person",512,512
img_0733.png,"cup, mouse, keyboard, bowl",512,512
img_0738.png,"person, backpack, skis",512,512
img_0740.png,"person, person, tennis racket",512,512
img_0741.png,"horse, person",512,512
img_0746.png,"person, suitcase, handbag",512,512
img_0747.png,"cat, bed, laptop",512,512
img_0752.png,"cup, banana, dining table",512,512
img_0763.png,"chair, chair, person, remote, person",512,512
img_0765.png,"dog, bicycle",512,512
img_0766.png,"cat, toilet",512,512
img_0771.png,"cat, couch, laptop, potted plant, potted plant",512,512
img_0774.png,"bottle, bottle, bottle, person, bottle, wine glass, wine glass, wine glass, cup, cup, cup, cup, wine glass, clock, clock, cup, cup",512,512
img_0776.png,"dog, frisbee",512,512
img_0779.png,"bottle, bottle, bottle, bottle, dining table, person, bottle, cup, pizza, sink, bottle, bottle, bottle, bowl, bowl, book, microwave, vase, bowl",512,512
img_0781.png,"person, tennis racket",512,512
img_0784.png,"dog, dog, car, car, car, car, car, car, car, car, person, person, cake, bench",512,512
img_0786.png,"cat, suitcase, chair",512,512
img_0788.png,"person, tennis racket",512,512
img_0792.png,"cat, tie",512,512
img_0798.png,"dog, book",512,512
img_0799.png,dog,512,512
img_0801.png,"person, tennis racket",512,512
img_0803.png,"sports ball, person, person, tennis racket",512,512
img_0810.png,"tv, person, remote, vase",512,512
img_0812.png,"cat, chair, backpack",512,512
img_0813.png,"cat, laptop, chair, keyboard, refrigerator, dining table",512,512
img_0814.png,"chair, chair, chair, person, person, baseball bat, chair, chair, chair, chair, chair, chair, chair, person, person, person, person, person, chair",512,512
img_0819.png,"person, person, person, person, person, baseball glove",512,512
img_0820.png,"tv, person, person, remote, teddy bear, wine glass, wine glass, wine glass, bowl, vase, vase, couch, remote, clock, couch",512,512
img_0825.png,"cat, car, car, chair",512,512
img_0827.png,"cell phone, cell phone, person, cell phone, cell phone, cell phone, cell phone, cell phone, cell phone",512,512
img_0829.png,"person, tennis racket",512,512
img_0832.png,dog,512,512
img_0838.png,"bottle, bottle, person, knife, knife, apple, oven, oven, book, banana, orange, orange, knife, apple, person",512,512
img_0840.png,"cat, chair, couch",512,512
img_0841.png,"person, bench",512,512
img_0842.png,"cell phone, person",512,512
img_0848.png,"chair, dining table, cup, spoon, bowl, bowl, carrot, bowl, bowl",512,512
img_0856.png,"cell phone, person, person, frisbee, person",512,512
img_0860.png,"cat, bench",512,512
img_0862.png,"person, baseball glove",512,512
img_0870.png,"cell phone, cup, laptop, book, person, chair",512,512
img_0872.png,"cow, bottle, person, cow",512,512
img_0873.png,"airplane, person, person, bench",512,512
img_0874.png,"cat, person, umbrella, suitcase",512,512
img_0882.png,"traffic light, truck, car",512,512
img_0883.png,"person, person, skateboard, person, person",512,512
img_0886.png,"couch, person, laptop, bottle",512,512
img_0888.png,"cup, banana, banana, broccoli",512,512
img_0889.png,"person, cup, cup, remote, book, book, book, book, book, book, book, book, book, book, book, book, book",512,512
img_0898.png,"tie, person, spoon, fork, fork, knife, spoon",512,512
img_0899.png,"dog, tv, person, couch",512,512
img_0904.png,"sports ball, tennis racket, person, person, person, person",512,512
img_0909.png,"tie, tie, person, person, toilet",512,512
img_0918.png,"dog, bed",512,512
img_0920.png,"umbrella, person, person, suitcase, person, person",512,512
img_0921.png,"person, tennis racket",512,512
img_0933.png,"tie, cell phone, car, car, person",512,512
img_0934.png,"person, donut, donut, donut, donut, donut, donut, donut, donut, cup, person, donut",512,512
img_0937.png,"sports ball, baseball glove, person",512,512
img_0946.png,"couch, couch, remote, person, person",512,512
img_0951.png,"cat, bottle, sink, vase",512,512
img_0953.png,"bottle, chair, chair, dining table, wine glass",512,512
img_0955.png,"person, person, baseball bat, baseball glove, person, person",512,512
img_0959.png,"person, oven, oven, oven, oven, oven, oven, microwave, microwave, microwave, oven, microwave, oven",512,512
img_0962.png,"couch, person, potted plant, person, remote, remote",512,512
img_0965.png,"cell phone, person, bench",512,512
img_0967.png,"dog, bicycle, car",512,512
img_0968.png,"snowboard, bench, person",512,512
img_0970.png,"person, skateboard",512,512
img_0976.png,"person, boat",512,512
img_0978.png,"frisbee, person",512,512
img_0979.png,person,512,512
img_0980.png,"refrigerator, person, person, oven",512,512
img_0982.png,"dog, couch, person",512,512
img_0983.png,"person, giraffe",512,512
img_0987.png,"bottle, bottle, person, cup, cup, microwave, sink, cup, bottle, bowl, cake",512,512
img_0990.png,"person, pizza, pizza, oven",512,512
img_0992.png,"cat, sink",512,512
img_0993.png,"sports ball, person, person, tennis racket, tennis racket",512,512
img_0995.png,"tv, person, person, remote, remote, book",512,512
dining_table_012.png,dining table,512,512
chair_007.png,chair,512,512
chair_010.png,chair,512,512
car_012.png,car,512,512
chair_020.png,chair,512,512
car_016.png,car,512,512
backpack_011.png,backpack,512,512
backpack_016.png,backpack,512,512
backpack_022.png,backpack,512,512
backpack_025.png,backpack,512,512
backpack_028.png,backpack,512,512
